loss,mape,val_loss,val_mape
0.06328411400318146,1984010.875,0.038441941142082214,737041.875
0.025147130712866783,843969.9375,0.02033350244164467,312796.0
0.018590198829770088,455321.6875,0.01955787092447281,245031.375
0.01870241016149521,438992.53125,0.020663205534219742,282726.6875
0.01871337555348873,445863.96875,0.019864507019519806,250374.578125
0.018258877098560333,449323.84375,0.019150275737047195,234572.640625
0.01841694489121437,422440.3125,0.01957918331027031,223292.390625
0.018234461545944214,441343.0625,0.020337285473942757,272845.21875
0.018280673772096634,413619.6875,0.018914973363280296,241818.609375
0.017958922311663628,416087.53125,0.02201271429657936,196000.296875
0.018437175080180168,403686.8125,0.0190133024007082,236015.671875
0.01781303435564041,444542.65625,0.01868305914103985,230823.625
0.01805977337062359,417991.84375,0.01971677877008915,256479.453125
0.01784186065196991,415843.5625,0.020562872290611267,260101.34375
0.017714012414216995,423162.53125,0.0199830811470747,245764.9375
0.01780729927122593,412654.90625,0.018665725365281105,200117.0625
0.017383089289069176,384547.75,0.018477454781532288,245288.53125
0.01736515574157238,393473.46875,0.020720481872558594,189240.734375
0.017760019749403,416219.5,0.018825052306056023,220964.140625
0.017622726038098335,400589.09375,0.018356697633862495,205508.265625
0.017337005585432053,394901.84375,0.018018988892436028,214923.484375
0.01714894361793995,386326.21875,0.017833320423960686,225758.3125
0.017354177311062813,407229.375,0.017673958092927933,212442.640625
0.01706426590681076,373155.5625,0.020736655220389366,271666.34375
0.01686025969684124,393496.125,0.020601922646164894,232634.0
0.01722593419253826,369185.625,0.02122488059103489,191230.28125
0.016878491267561913,388381.21875,0.018796954303979874,189296.390625
0.016977868974208832,386165.84375,0.01718965172767639,205277.34375
0.016712618991732597,382045.15625,0.0170860905200243,186647.21875
0.016547277569770813,378568.28125,0.01875002309679985,197230.109375
0.01660253293812275,396061.0625,0.01696869544684887,201270.203125
0.01630389504134655,375311.25,0.017848636955022812,195966.21875
0.016821563243865967,402550.375,0.016832733526825905,206811.78125
0.0158587284386158,358998.46875,0.016627080738544464,184502.015625
0.016630668193101883,397342.4375,0.016415216028690338,203890.96875
0.016028687357902527,384189.1875,0.01644863560795784,204708.0
0.01603284478187561,403634.625,0.016187451779842377,233349.09375
0.016331369057297707,392575.9375,0.01629495806992054,209323.0
0.01603751815855503,400058.15625,0.017652476206421852,197773.40625
0.015520109795033932,409537.5,0.016314012929797173,214380.9375
0.015704140067100525,391371.3125,0.015687940642237663,210893.359375
0.015589365735650063,396818.84375,0.01756546087563038,218449.453125
0.015666931867599487,408406.46875,0.018349969759583473,255622.71875
0.015677811577916145,411411.09375,0.017908379435539246,208549.109375
0.015143083408474922,424308.96875,0.016030700877308846,219415.59375
0.015013021416962147,414134.6875,0.015765395015478134,197570.75
